line,name,하차총승객수,gu_name,dong_name,full_name
03호선,대치,277227.4117647059,강남구,대치2동,서울특별시 강남구 대치2동
03호선,학여울,55186.94117647059,강남구,대치2동,서울특별시 강남구 대치2동
03호선,대청,226884.64705882352,강남구,일원2동,서울특별시 강남구 일원2동
03호선,일원,233796.4411764706,강남구,일원본동,서울특별시 강남구 일원본동
03호선,수서,798669.2941176471,강남구,수서동,서울특별시 강남구 수서동
03호선,동대입구,224388.0294117647,중구,장충동,서울특별시 중구 장충동
03호선,금호,194098.61764705883,성동구,금호4가동,서울특별시 성동구 금호4가동
03호선,옥수,241911.82352941178,성동구,옥수동,서울특별시 성동구 옥수동
03호선,압구정,853289.1470588235,강남구,압구정동,서울특별시 강남구 압구정동
03호선,신사,808204.1470588235,강남구,논현1동,서울특별시 강남구 논현1동
03호선,잠원,125591.55882352941,서초구,잠원동,서울특별시 서초구 잠원동
03호선,고속터미널,1932792.0,서초구,반포4동,서울특별시 서초구 반포4동
03호선,교대,0.0,서초구,서초1동,서울특별시 서초구 서초1동
03호선,남부터미널,0.0,서초구,서초3동,서울특별시 서초구 서초3동
03호선,경복궁,0.0,종로구,사직동,서울특별시 종로구 사직동
03호선,안국,536706.1470588235,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
03호선,종로3가,1236450.794117647,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
03호선,을지로3가,780051.4411764706,중구,을지로동,서울특별시 중구 을지로동
03호선,구파발,511166.70588235295,은평구,진관동,서울특별시 은평구 진관동
03호선,연신내,918535.9117647059,은평구,갈현1동,서울특별시 은평구 갈현1동
03호선,불광,577000.5,은평구,대조동,서울특별시 은평구 대조동
03호선,녹번,339308.4411764706,은평구,녹번동,서울특별시 은평구 녹번동
03호선,홍제,425761.32352941175,서대문구,홍제1동,서울특별시 서대문구 홍제1동
03호선,무악재,100550.76470588235,서대문구,홍제1동,서울특별시 서대문구 홍제1동
03호선,독립문,192126.17647058822,서대문구,천연동,서울특별시 서대문구 천연동
03호선,가락시장,440993.70588235295,송파구,가락1동,서울특별시 송파구 가락1동
03호선,경찰병원,182323.9705882353,송파구,가락2동,서울특별시 송파구 가락2동
03호선,오금,232359.91176470587,송파구,오금동,서울특별시 송파구 오금동
03호선,약수,412265.20588235295,중구,약수동,서울특별시 중구 약수동
03호선,충무로,662726.0588235294,중구,필동,서울특별시 중구 필동
04호선,남태령,26575.70588235294,서초구,방배2동,서울특별시 서초구 방배2동
04호선,당고개,283889.67647058825,노원구,상계3.4동,서울특별시 노원구 상계3.4동
04호선,상계,457676.9117647059,노원구,상계5동,서울특별시 노원구 상계5동
04호선,노원,1093722.705882353,노원구,상계2동,서울특별시 노원구 상계2동
04호선,창동,708694.3529411765,도봉구,창5동,서울특별시 도봉구 창5동
04호선,쌍문,694508.9117647059,도봉구,창1동,서울특별시 도봉구 창1동
04호선,수유,0.0,강북구,번1동,서울특별시 강북구 번1동
04호선,미아,0.0,강북구,미아동,서울특별시 강북구 미아동
04호선,미아사거리,701174.2352941176,강북구,송중동,서울특별시 강북구 송중동
04호선,길음,504003.0294117647,성북구,길음1동,서울특별시 성북구 길음1동
04호선,성신여대입구,0.0,성북구,삼선동,서울특별시 성북구 삼선동
04호선,한성대입구,0.0,성북구,삼선동,서울특별시 성북구 삼선동
04호선,혜화,842595.6176470588,종로구,혜화동,서울특별시 종로구 혜화동
04호선,동대문,810320.5588235294,종로구,종로5.6가동,서울특별시 종로구 종로5.6가동
04호선,동대문역사문화공원,769347.3333333334,중구,광희동,서울특별시 중구 광희동
04호선,충무로,662726.0588235294,중구,필동,서울특별시 중구 필동
04호선,명동,521066.9117647059,중구,명동,서울특별시 중구 명동
04호선,회현,0.0,중구,회현동,서울특별시 중구 회현동
04호선,서울,0.0,중구,회현동,서울특별시 중구 회현동
04호선,숙대입구,0.0,용산구,남영동,서울특별시 용산구 남영동
04호선,삼각지,276775.3823529412,용산구,한강로동,서울특별시 용산구 한강로동
04호선,신용산,418716.82352941175,용산구,한강로동,서울특별시 용산구 한강로동
04호선,동작,0.0,동작구,사당2동,서울특별시 동작구 사당2동
04호선,총신대입구,0.0,동작구,사당2동,서울특별시 동작구 사당2동
04호선,사당,1607659.0588235294,관악구,남현동,서울특별시 관악구 남현동
04호선,이촌,0.0,용산구,한강로동,서울특별시 용산구 한강로동
05호선,종로3가,1236450.794117647,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동
05호선,둔촌동,214594.9411764706,강동구,성내3동,서울특별시 강동구 성내3동
05호선,올림픽공원,0.0,송파구,오륜동,서울특별시 송파구 오륜동
05호선,방화,164968.4411764706,강서구,방화3동,서울특별시 강서구 방화3동
05호선,개화산,132955.38235294117,강서구,방화2동,서울특별시 강서구 방화2동
05호선,김포공항,674372.0882352941,강서구,방화2동,서울특별시 강서구 방화2동
05호선,송정,163440.64705882352,강서구,공항동,서울특별시 강서구 공항동
05호선,마곡,231660.67647058822,강서구,공항동,서울특별시 강서구 공항동
05호선,애오개,167761.5,마포구,아현동,서울특별시 마포구 아현동
05호선,서대문,442195.4705882353,서대문구,충현동,서울특별시 서대문구 충현동
05호선,광화문,0.0,종로구,사직동,서울특별시 종로구 사직동
05호선,충정로,0.0,서대문구,충현동,서울특별시 서대문구 충현동
05호선,왕십리,0.0,성동구,행당1동,서울특별시 성동구 행당1동
05호선,발산,505850.0,강서구,발산1동,서울특별시 강서구 발산1동
05호선,우장산,356518.0,강서구,발산1동,서울특별시 강서구 발산1동
05호선,화곡,674721.6470588235,강서구,화곡1동,서울특별시 강서구 화곡1동
05호선,까치산,715172.7058823529,강서구,화곡1동,서울특별시 강서구 화곡1동
05호선,신정,0.0,양천구,신정4동,서울특별시 양천구 신정4동
05호선,목동,458370.70588235295,양천구,목1동,서울특별시 양천구 목1동
05호선,오목교,0.0,양천구,목1동,서울특별시 양천구 목1동
05호선,영등포구청,661382.7647058824,영등포구,당산1동,서울특별시 영등포구 당산1동
05호선,영등포시장,253895.58823529413,영등포구,영등포동,서울특별시 영등포구 영등포동
05호선,신길,306065.1176470588,영등포구,신길1동,서울특별시 영등포구 신길1동
05호선,여의도,1257898.5294117648,영등포구,여의동,서울특별시 영등포구 여의동
05호선,여의나루,313903.9117647059,영등포구,여의동,서울특별시 영등포구 여의동
05호선,마포,352503.23529411765,마포구,도화동,서울특별시 마포구 도화동
05호선,공덕,945269.1764705882,마포구,공덕동,서울특별시 마포구 공덕동
05호선,을지로4가,459815.0,중구,을지로동,서울특별시 중구 을지로동
05호선,신금호,163828.88235294117,성동구,금호1가동,서울특별시 성동구 금호1가동
05호선,행당,183250.79411764705,성동구,행당2동,서울특별시 성동구 행당2동
05호선,마장,135187.73529411765,성동구,마장동,서울특별시 성동구 마장동
05호선,답십리,366519.85294117645,성동구,용답동,서울특별시 성동구 용답동
05호선,장한평,450887.9411764706,성동구,용답동,서울특별시 성동구 용답동
05호선,군자,0.0,광진구,능동,서울특별시 광진구 능동
05호선,아차산,0.0,광진구,구의2동,서울특별시 광진구 구의2동
05호선,광나루,0.0,광진구,광장동,서울특별시 광진구 광장동
05호선,천호,0.0,강동구,성내2동,서울특별시 강동구 성내2동
05호선,강동,452348.9705882353,강동구,성내2동,서울특별시 강동구 성내2동
05호선,길동,209125.61764705883,강동구,길동,서울특별시 강동구 길동
05호선,굽은다리,0.0,강동구,천호1동,서울특별시 강동구 천호1동
05호선,명일,221859.0,강동구,명일1동,서울특별시 강동구 명일1동
05호선,고덕,229144.70588235295,강동구,명일2동,서울특별시 강동구 명일2동
05호선,상일동,358710.85294117645,강동구,상일1동,서울특별시 강동구 상일1동
05호선,방이,183422.35294117648,송파구,방이1동,서울특별시 송파구 방이1동
05호선,오금,232359.91176470587,송파구,오금동,서울특별시 송파구 오금동
05호선,개롱,168781.76470588235,송파구,가락2동,서울특별시 송파구 가락2동
05호선,거여,209256.73529411765,송파구,거여1동,서울특별시 송파구 거여1동
05호선,마천,160755.17647058822,송파구,마천1동,서울특별시 송파구 마천1동
05호선,동대문역사문화공원,769347.3333333334,중구,광희동,서울특별시 중구 광희동
05호선,청구,191880.11764705883,중구,동화동,서울특별시 중구 동화동
06호선,망원,402597.85294117645,마포구,망원1동,서울특별시 마포구 망원1동
06호선,합정,1192880.1470588236,마포구,합정동,서울특별시 마포구 합정동
06호선,상수,252288.61764705883,마포구,서강동,서울특별시 마포구 서강동
06호선,광흥창,0.0,마포구,서강동,서울특별시 마포구 서강동
06호선,대흥,0.0,마포구,대흥동,서울특별시 마포구 대흥동
06호선,버티고개,54053.17647058824,중구,약수동,서울특별시 중구 약수동
06호선,약수,412265.20588235295,중구,약수동,서울특별시 중구 약수동
06호선,청구,191880.11764705883,중구,동화동,서울특별시 중구 동화동
06호선,신당,584741.7352941176,중구,신당동,서울특별시 중구 신당동
06호선,응암,444212.17647058825,은평구,신사1동,서울특별시 은평구 신사1동
06호선,역촌,112184.17647058824,은평구,녹번동,서울특별시 은평구 녹번동
06호선,불광,577000.5,은평구,대조동,서울특별시 은평구 대조동
06호선,독바위,76940.55882352941,은평구,불광1동,서울특별시 은평구 불광1동
06호선,연신내,918535.9117647059,은평구,갈현1동,서울특별시 은평구 갈현1동
06호선,구산,145715.9705882353,은평구,대조동,서울특별시 은평구 대조동
06호선,새절,0.0,은평구,신사2동,서울특별시 은평구 신사2동
06호선,증산,0.0,은평구,증산동,서울특별시 은평구 증산동
06호선,디지털미디어시티,714501.1176470588,마포구,상암동,서울특별시 마포구 상암동
06호선,월드컵경기장,0.0,마포구,성산2동,서울특별시 마포구 성산2동
06호선,마포구청,320350.64705882355,마포구,성산2동,서울특별시 마포구 성산2동
06호선,공덕,945269.1764705882,마포구,공덕동,서울특별시 마포구 공덕동
06호선,효창공원앞,241659.23529411765,용산구,효창동,서울특별시 용산구 효창동
06호선,삼각지,276775.3823529412,용산구,한강로동,서울특별시 용산구 한강로동
06호선,녹사평,0.0,용산구,용산2가동,서울특별시 용산구 용산2가동
06호선,이태원,307374.79411764705,용산구,이태원1동,서울특별시 용산구 이태원1동
06호선,한강진,242047.23529411765,용산구,한남동,서울특별시 용산구 한남동
06호선,동묘앞,477131.4117647059,종로구,숭인2동,서울특별시 종로구 숭인2동
06호선,창신,73155.61764705883,종로구,창신3동,서울특별시 종로구 창신3동
06호선,보문,210859.64705882352,성북구,보문동,서울특별시 성북구 보문동
06호선,안암,0.0,성북구,안암동,서울특별시 성북구 안암동
06호선,고려대,0.0,동대문구,제기동,서울특별시 동대문구 제기동
06호선,월곡,0.0,성북구,월곡2동,서울특별시 성북구 월곡2동
06호선,상월곡,0.0,성북구,월곡2동,서울특별시 성북구 월곡2동
06호선,돌곶이,216852.41176470587,성북구,석관동,서울특별시 성북구 석관동
06호선,석계,567353.4117647059,성북구,석관동,서울특별시 성북구 석관동
06호선,태릉입구,361671.76470588235,노원구,공릉1동,서울특별시 노원구 공릉1동
06호선,화랑대,0.0,노원구,공릉2동,서울특별시 노원구 공릉2동
06호선,봉화산,0.0,중랑구,신내2동,서울특별시 중랑구 신내2동
06호선,신내,43955.91176470588,중랑구,망우본동,서울특별시 중랑구 망우본동
07호선,군자,0.0,광진구,능동,서울특별시 광진구 능동
07호선,강남구청,706472.0294117647,강남구,논현2동,서울특별시 강남구 논현2동
07호선,학동,600441.3235294118,강남구,논현2동,서울특별시 강남구 논현2동
07호선,논현,526211.3529411765,강남구,논현1동,서울특별시 강남구 논현1동
07호선,반포,146265.82352941178,서초구,반포1동,서울특별시 서초구 반포1동
